Accreditation code,Power station name,State,Postcode,Installed capacity (MW),Fuel Source (s),Accreditation start date,Approval date
SRPVWAJ6,IKAD Sparks Rd w SGU - Solar � WA,WA,6166,0.363,Solar,4/01/2024,2/04/2024
SRPXQL11,Seven Springs Building Services - Solar w SGU - QLD,QLD,4350,0.218,Solar,13/06/2023,2/04/2024
SRPVWAI7,SOUTHERN STEEL (WA) PTY LIMITED - Solar w SGU - WA,WA,6165,0.306,Solar,10/10/2023,2/04/2024
SRPXQL35,AU265 Rochedale Motorway Estate - Solar - QLD,QLD,4123,0.356,Solar,13/09/2023,3/04/2024
SRPXVCI6,Bayswater Downer Roads - Solar wSGU - VIC,VIC,3153,0.147,Solar,11/12/2023,3/04/2024
SRPXNSM5,Energy Bay - B&J (City Kitchen) - Solar wSGU - NSW,NSW,2148,0.924,Solar,14/11/2023,4/04/2024
SRPXNSS3,AU870 Interchange Pk 7 Interchange - Solar w SGU - NSW,NSW,2766,0.634,Solar,15/01/2024,10/04/2024
SRPXVCL2,BF PORT MELBOURNE - SOLAR w SGU - VIC,VIC,3207,0.196,Solar,5/04/2024,10/04/2024
SRPXQL98,Blenners Transport TULLY - Solar w SGU - QLD,QLD,4854,0.200,Solar,14/03/2024,10/04/2024
SRPVSAV1,CCEP Salisbury - Solar - SA,SA,5106,0.262,Solar,13/11/2023,10/04/2024
SRPXVCK4,Somerton Pump Station - Solar - VIC,VIC,3048,0.154,Solar,4/03/2024,10/04/2024
SRPVSAU5,Sarstedt - Mawson Lakes - Solar - SA,SA,5095,0.822,Solar,20/09/2023,11/04/2024
SRPXNSP8,Scholastic Lisarow - Solar w SGU - NSW,NSW,2250,0.360,Solar,10/11/2023,11/04/2024
SRPXNSQ9,Bankstown Courthouse - Solar - NSW,NSW,2200,0.150,Solar,13/12/2023,15/04/2024
SRPXQLA6,Caloundra Village - Solar - QLD,QLD,4551,0.150,Solar,11/04/2024,15/04/2024
SRPXVCE1,"Factory 7, 315 Cooper Street, Epping - Solar - VIC",VIC,3076,0.461,Solar,28/06/2023,15/04/2024
SRPXVCD4,OLERS - FOODWORKS - Solar w SGU � VIC,VIC,3691,0.269,Solar,20/07/2023,15/04/2024
SRPXQL99,Retail First Sunnybank Plaza-Solar-QLD,QLD,4109,0.701,Solar,14/03/2024,15/04/2024
SRPVQLW9,AAT Port Of Brisbane-Solar w SGU-QLD,QLD,4178,0.300,Solar,26/09/2022,17/04/2024
SRPXNSS5,Cooke's Truck Tyre Centre - Solar w SGU - South Nowra - NSW,NSW,2541,0.180,Solar,29/01/2024,17/04/2024
SRPXNSN8,ELF FARM SUPPLIES_System 2 - Solar w SGU - NSW,NSW,2756,0.782,Solar,13/10/2023,17/04/2024
SRPXNSN9,ELF FARM SUPPLIES_System 3 - Solar w SGU - NSW,NSW,2756,0.513,Solar,13/10/2023,17/04/2024
SRPXVCL0,JCs Quality Foods - Solar wSGU - VIC,VIC,3180,0.194,Solar,19/03/2024,17/04/2024
SRPVWAH8,Live-in-Learning - Solar - WA,WA,6102,0.349,Solar,7/06/2023,17/04/2024
SRPXQLA7,Woolworths Mossman 2769 - Solar - QLD,QLD,4873,0.341,Solar,12/04/2024,17/04/2024
SRPVQLX0,Josam Unit Trust (Samin Sheet Metal) - Solar w SGU - QLD,QLD,4131,0.188,Solar,26/09/2022,18/04/2024
SRPVNT75,Robertson Barracks Solar Farm - Solar - NT,NT,0830,10.886,Solar,10/08/2023,19/04/2024
SRPXNSV0,139 Hughes Street - Solar - NSW,NSW,3644,0.293,Solar,15/04/2024,23/04/2024
SRPVSAT3,AEW Ingham's - Solar - SA,SA,5111,1.000,Solar,29/05/2023,23/04/2024
SRPXVCL3,Dingley Village Hotel - Solar - VIC,VIC,3172,0.199,Solar,10/04/2024,23/04/2024
SRPXVCH0,Greentech 1 Solar Farm & BESS - Solar - VIC,VIC,3385,7.020,Solar,12/02/2024,23/04/2024
SRPXVCH1,Greentech 4 Solar Farm & BESS - Solar - VIC,VIC,3465,7.020,Solar,2/02/2024,23/04/2024
SRPVQLY9,Hillcrest Rockhampton Private Hospital - Solar - QLD,QLD,4700,0.275,Solar,27/02/2023,23/04/2024
WD00WA27,Moora Energy Windfarm - Wind - WA,WA,6507,3.600,Wind,14/02/2024,23/04/2024
SRPXVCH7,Morwell Bowling Club - Solar wSGU - VIC,VIC,3840,0.199,Solar,20/11/2023,23/04/2024
SRPXQL06,Northgate - Solar  - QLD,QLD,4013,0.220,Solar,18/05/2023,23/04/2024
SRPXNSU3,Rosehill Asphalt Plant - Solar w SGU - NSW,NSW,2142,0.351,Solar,14/03/2024,23/04/2024
SRPXVCJ9,Winneke Water Treatment Plant - Solar - VIC,VIC,3775,9.540,Solar,26/02/2024,23/04/2024
SRPXQL60,Bunnings Stafford - Solar - QLD,QLD,4053,0.340,Solar,25/10/2023,24/04/2024
SRPXNST9,Fresenius Smithfield - Solar w SGU - NSW,NSW,2164,0.290,Solar,1/03/2024,24/04/2024
SRPXNSQ2,ROBE SOLAR FARM - Solar - NSW,NSW,2650,2.843,Solar,18/12/2023,24/04/2024
SRPVSAV4,Watervale Dr Green Fields - Solar w SGU - SA,SA,5107,0.396,Solar,9/01/2024,24/04/2024
SRPXNSP3,Wideline Joule Place - Solar w SGU - NSW,NSW,2259,0.406,Solar,24/10/2023,24/04/2024
SRPVAC40,1 National Circuit Barton - Solar w SGU - ACT,ACT,2600,0.166,Solar,28/09/2023,29/04/2024
SRPVAC39,3-5 National Circuit Barton - Solar w SGU - ACT,ACT,2600,0.166,Solar,28/09/2023,29/04/2024
SRPXNSD3,"Millennium Ct, Silverwater - Solar - NSW",NSW,2128,0.702,Solar,23/02/2023,30/04/2024
SRPVWAK9,Advantage - Solar - WA,WA,6155,0.500,Solar,8/04/2024,3/05/2024
SRPXNST5,AMYSON - Solar w SGU - NSW,NSW,2164,0.200,Solar,24/02/2024,3/05/2024
SRPXNSM3,"Australia Post (Admin & Parcel Buildings) - Ralph St, Alexandria - Solar w SGU � NSW",NSW,2015,0.472,Solar,13/09/2023,3/05/2024
SRPXNSJ4,BIDFOOD BERESFIELD - Solar w SGU - NSW,NSW,2322,0.161,Solar,26/06/2023,3/05/2024
SRPXVCA3,Clevertronics - Scoresby - Solar w SGU - VIC,VIC,3179,0.165,Solar,18/10/2022,3/05/2024
SRPXVCJ5,Dexus Elders - Solar - VIC,VIC,3023,0.350,Solar,17/01/2024,3/05/2024
SRPXNSO0,Eilbeck cranes Moss Vale - Solar w SGU - NSW,NSW,2577,0.458,Solar,27/09/2023,3/05/2024
SRPXQL89,LAVA BLUE (BRIS) - SOLAR - QLD,QLD,4161,0.175,Solar,21/02/2024,3/05/2024
SRPXNSV1,Nepean Hospital - Solar - NSW,NSW,2747,0.520,Solar,15/04/2024,3/05/2024
SRPXVCF9,OLERS - RUTHERGLEN IGA - Solar - VIC,VIC,3685,0.140,Solar,15/08/2023,3/05/2024
SRPXNSV4,Woolworths Kellyville 1347 - Solar - NSW,NSW,2155,0.400,Solar,18/04/2024,6/05/2024
SRPXQL14,Americold - Solar w SGU - QLD,QLD,4172,1.001,Solar,21/06/2023,9/05/2024
SRPVAC41,BIG W Canberra Airport 191 - Solar - ACT,ACT,2609,0.200,Solar,7/12/2023,9/05/2024
SRPXNST1,Cootamundra Solar Farm - Solar - NSW,NSW,2590,5.839,Solar,8/02/2024,9/05/2024
SRPVWAJ3,Fortnum-Solar-WA,WA,6642,5.494,Solar,14/11/2023,9/05/2024
SRPXNSS4,Goodman Amazon Kemps Creek - Solar - NSW,NSW,2178,3.000,Solar,16/01/2024,9/05/2024
HYMCVC12,Preston Mini Hydro - VIC,VIC,3073,2.000,Hydro,26/02/2024,9/05/2024
SRPXVCL1,Rowville Terminal Station - Solar - VIC,VIC,3178,1.125,Solar,8/04/2024,9/05/2024
SRPXNSV2,Uniplas Wetherill Park - Solar w SGU - NSW,NSW,2164,0.299,Solar,16/04/2024,9/05/2024
SRPXNST3,"358 Chisholm Rd, Auburn - Solar w SGU - NSW",NSW,2144,0.204,Solar,29/01/2024,15/05/2024
SRPXVCK1,Agile Energy CC Docklands 140kW SolarwSGU - VIC,VIC,3008,0.141,Solar,27/02/2024,15/05/2024
SRPXNSA7,Apollo Kitchen - Solar w SGU - NSW,NSW,2164,0.300,Solar,9/10/2022,15/05/2024
SRPXNSV6,Borthistle Rd Gunnedah - Solar w SGU - NSW,NSW,2380,0.200,Solar,23/04/2024,15/05/2024
SRPXVCL8,Bunnings Traralgon - Solar - VIC,VIC,3844,0.170,Solar,1/05/2024,15/05/2024
SRPVNT78,Expansive Unit Trust - Solar - NT,NT,0810,0.230,Solar,11/12/2023,15/05/2024
SRPXVCL6,Mt Zero WTP 96021 - Solar w SGU - VIC,VIC,3401,0.290,Solar,24/04/2024,15/05/2024
SRPXVCL5,Ouyen Rural WPS 96018 - Solar w SGU - VIC,VIC,3490,0.200,Solar,24/04/2024,15/05/2024
SRPXVCI7,Pumpa Manufacturing - Solar - VIC,VIC,3585,0.170,Solar,12/12/2023,15/05/2024
SRPXNSU9,WARRIGAL CARE SHELL COVE - Solar w/SGU - NSW,NSW,2529,0.200,Solar,15/04/2024,15/05/2024
SRPXNSD2,Westmead Private Hospital - Solar w SGU - NSW,NSW,2145,0.254,Solar,17/02/2023,15/05/2024
SRPXNSU8,Woolworths DC Moorebank NDC - Solar - NSW,NSW,2170,1.780,Solar,12/04/2024,15/05/2024
SRPXQLA2,BF KUNDA PARK - SOLAR w SGU - QLD,QLD,4556,0.226,Solar,5/04/2024,17/05/2024
SRPXNSV7,Bunnings Campbelltown - Solar - NSW,NSW,2560,0.460,Solar,1/05/2024,17/05/2024
SRPXNSV9,Bunnings North Penrith - Solar - NSW,NSW,2750,0.280,Solar,1/05/2024,17/05/2024
SRPXNSV8,Bunnings Kembla Grange - Solar - NSW,NSW,2526,0.480,Solar,1/05/2024,20/05/2024
SRPXQL94,Yeppoon Sewerage Treatment Plant - Solar - QLD,QLD,4703,0.550,Solar,27/02/2024,20/05/2024
SRPXVCJ8,HOA - Solar w SGU - VIC,VIC,3170,0.200,Solar,12/04/2024,21/05/2024
SRPXQL50,Robina Central- Solar � QLD,QLD,4226,0.212,Solar,26/09/2023,21/05/2024
SRPXNSN3,Agile Energy - Evermore - 277kW Solar w SGU - NSW,NSW,2428,0.278,Solar,27/09/2023,24/05/2024
SRPXVCH6,Bendigo Project Solar Farm & BESS - Solar - VIC,VIC,3557,7.020,Solar,8/12/2023,24/05/2024
SRPXQLA3,BF YATALA - SOLAR w SGU - QLD,QLD,4207,0.379,Solar,5/04/2024,24/05/2024
SRPVWAJ5,Broome Residential College - Solar - WA,WA,6725,0.160,Solar,27/11/2023,24/05/2024
SRPXVCG3,Conti Orchards - Solar w SGU - VIC,VIC,3644,0.170,Solar,21/09/2023,24/05/2024
HYMITA12,Cumberland Hydro Project - Mini Hydro - TAS,TAS,7469,1.579,Hydro,16/04/2024,24/05/2024
SRPVQLX7,Eurong Beach Resort - Solar w SGU - QLD,QLD,4581,0.359,Solar,10/01/2023,24/05/2024
SRPXQLA8,Linfox Willawong - Solar - QLD,QLD,4110,0.752,Solar,22/04/2024,24/05/2024
SRPXVCL9,MEL8 - SOLAR - VIC,VIC,3064,1.138,Solar,9/05/2024,24/05/2024
SRPVWAF7,Pilbara Motor Group - Solar - WA,WA,6714,0.400,Solar,20/09/2022,24/05/2024
SRPXQL92,St Andrews Ipswich Private Hospital-Solar-QLD,QLD,4305,0.245,Solar,8/05/2024,24/05/2024
SRPXNSW6,Uniting Alroy House - Solar w SGU - NSW,NSW,2330,0.200,Solar,20/05/2024,24/05/2024
SRPXNSD1,WCC Gibbes St Depot � Solar wSGU � NSW,NSW,2067,0.128,Solar,13/02/2023,24/05/2024
SRPXQLA4,BF ROCKHAMPTON - SOLAR w SGU - QLD,QLD,4702,0.303,Solar,5/04/2024,30/05/2024
SRPXNST7,Agile Energy - Centuria8Central - 323kW - Solar w SGU - NSW,NSW,2015,0.323,Solar,27/02/2024,31/05/2024
SRPVSAV7,BF GILLMAN - SOLAR w SGU - SA,SA,5013,0.347,Solar,5/04/2024,31/05/2024
SRPXNSQ8,Big W Parkes 133 - Solar - NSW,NSW,2870,0.200,Solar,4/12/2023,31/05/2024
SRPXNSR7,Holbeche Rd Arndell Park - Solar w SGU - NSW,NSW,2148,0.263,Solar,9/01/2024,31/05/2024
SRPXVCL7,Jalna Feedlot - Solar w SGU - VIC,VIC,3213,0.243,Solar,24/04/2024,31/05/2024
SRPXNSW2,Signature Care Tamworth Community Aged Care - Solar W SGU - NSW,NSW,2340,0.200,Solar,13/05/2024,31/05/2024
SRPXQL88,Grand Plaza - Solar - QLD,QLD,4118,2.391,Solar,23/01/2024,11/06/2024
SRPXQLA9,HERTZ AIRPORT (BRIS) - SOLAR - QLD,QLD,4008,0.293,Solar,29/05/2024,11/06/2024
SRPXVCH8,"Horsburgh Drive, Altona North - Solar w SGU - VIC",VIC,3025,0.203,Solar,21/11/2023,11/06/2024
WD00VC49,Ryan Corner Wind Farm - Wind - Vic,VIC,3284,218.400,Wind,1/07/2024,11/06/2024
SRPVSAV9,Taminga Phase 1- Solar - SA,SA,5010,0.545,Solar,24/05/2024,11/06/2024
SRPXNSW5,Woolworths Ashfield North 1813 - Solar - NSW,NSW,2131,0.351,Solar,14/05/2024,11/06/2024
SRPXNSJ1,Ocado - Solar - NSW,NSW,2164,2.005,Solar,1/06/2023,14/06/2024
SRPXNSJ9,AU870 17-19B Interchange Drive Eastern Creek - Solar w SGU - NSW,NSW,2766,0.748,Solar,11/07/2023,19/06/2024
SRPXNSW3,FWLHD Broken Hill Hospital - Solar - NSW,NSW,2880,0.750,Solar,13/05/2024,19/06/2024
SRPXNSU5,Anderson Dr Beresfield - Solar w SGU - NSW,NSW,2322,0.166,Solar,22/04/2024,21/06/2024
SRPXNSK8,Autopak-Vetlab Group - 178kW - Solar w SGU - NSW,NSW,2760,0.178,Solar,2/08/2023,21/06/2024
SRPVWAK6,BF MALAGA - SOLAR w SGU - WA,WA,6090,0.217,Solar,15/03/2024,21/06/2024
SRPXNSX4,Collins Transport Eastern Creek - Solar - NSW,NSW,2766,0.439,Solar,3/06/2024,21/06/2024
SRPXVCM1,Dexus Nike - Solar W SGU - VIC,VIC,3023,1.000,Solar,19/05/2024,21/06/2024
SRPXNSW4,EAST CESSNOCK BOWLING CLUB - Solar w SGU - NSW,NSW,2325,0.200,Solar,15/05/2024,21/06/2024
SRPXQL42,Ecolab Darra - Solar - QLD,QLD,4076,0.292,Solar,8/09/2023,21/06/2024
SRPVTA24,Foreshore Hotel - 195.8kW - Solar w SGU - TAS,TAS,7021,0.196,Solar,4/06/2024,21/06/2024
SRPXQL33,Nambour Selangor Private Hospital - 189.5kW - Solar w SGU - QLD,QLD,4560,0.190,Solar,11/08/2023,21/06/2024
SRPXVCL4,OLERS - Resource - Solar - VIC,VIC,3026,0.844,Solar,10/04/2024,21/06/2024
SRPVWAL2,Region Group Kalamunda - Solar - WA,WA,6076,0.690,Solar,17/05/2024,21/06/2024
SRPXQLB5,Southport Sharks - Solar w SGU - QLD,QLD,4215,0.332,Solar,5/06/2024,21/06/2024
SRPXVCK7,Goodman Lot 12 Logistics Drive - Solar - VIC,VIC,3029,0.450,Solar,8/03/2024,24/06/2024
SRPXNSV5,Homart Pharmaceuticals - Rydalmere - Solar w SGU - NSW,NSW,2116,0.392,Solar,17/04/2024,24/06/2024
SRPXVCK0,Sun Spot 3 Pty Ltd - Solar - Vic,VIC,3635,90.099,Solar,28/05/2024,24/06/2024
SRPXNST8,Wideline Newbridge Road - Solar wSGU � NSW,NSW,2261,0.406,Solar,27/02/2024,24/06/2024
SRPXQL19,Coopers Plains - solar w SGU - QLD,QLD,4108,0.541,Solar,3/07/2023,27/06/2024
SRPXNSX7,Goodman AU184 Oakdale West EBOS 3C2 - Solar w SGU � NSW,NSW,2178,0.500,Solar,6/06/2024,27/06/2024
SRPXVCK9,Goodman Nursery Avenue - Solar w SGU - VIC,VIC,3169,0.200,Solar,8/03/2024,27/06/2024
SRPXNSU1,Goodman Roberts DC Australia Post - Solar w SGU - NSW,NSW,2190,0.200,Solar,8/03/2024,27/06/2024
WD00VC50,Hawkesdale Wind Farm - Wind - Vic,VIC,3287,96.600,Wind,13/06/2024,27/06/2024
SRPXQLB4,National Cricket Centre � Solar wSGU � Qld,QLD,4010,0.285,Solar,3/06/2024,27/06/2024
SRPXNSX5,NSW Ports Enfield H2 Rooftop - Solar - NSW,NSW,2136,0.339,Solar,4/06/2024,27/06/2024
SRPXQL51,Nu-Pure Unit Trust - Solar w SGU - QLD,QLD,4207,0.586,Solar,28/09/2023,27/06/2024
SRPVSAV0,DiMauro Group Parabanks Shopping Centre - Solar- SA,SA,5108,0.850,Solar,3/06/2024,28/06/2024
SRPVQLV3,Strathpine Shopping Square - Solar - QLD,QLD,4500,0.422,Solar,18/06/2024,28/06/2024
SRPVWAB6,Woolworths Clarkson 4431 - Solar - WA,WA,6030,0.412,Solar,20/06/2024,28/06/2024
SRPXVCM3,BEVCHAIN - SOLAR w SGU - VIC,VIC,3026,0.934,Solar,22/05/2024,1/07/2024
SRPVNT79,BF DARWIN - SOLAR - NT,NT,0822,0.252,Solar,5/04/2024,1/07/2024
SRPXVCK6,Goodman IMAG - Solar - VIC,VIC,3029,0.400,Solar,8/03/2024,1/07/2024
SRPXQL95,Lindsay Australia Acacia Ridge - Solar - QLD,QLD,4110,0.440,Solar,5/03/2024,1/07/2024
SRPXQL93,Agile Energy - CromwellWSF158kW Solar wSGU - QLD,QLD,4006,0.158,Solar,27/02/2024,5/07/2024
SRPXVCJ3,Brickworks Rd Bendigo East - Solar - VIC,VIC,3550,0.475,Solar,9/01/2024,5/07/2024
SRPXNSV3,GME Winston Hills - Solar w SGU - NSW,NSW,2153,0.600,Solar,17/04/2024,5/07/2024
SRPXVCK8,Goodman Port Melbourne Store E - Solar - VIC,VIC,3207,0.250,Solar,8/03/2024,5/07/2024
